endTime,artistName,trackName,msPlayed
2020-11-27 03:37,Charlotte Lawrence,Why Do You Love Me,1644
2020-11-27 03:37,Carlie Hanson,Back in My Arms,13841
2020-11-27 03:37,Madison Beer,Home with You,937
2020-11-27 03:38,Mahalia,What You Did (feat. Ella Mai),14644
2020-11-27 03:39,Becky Hill,Heaven On My Mind (with Sigala),77914
2020-11-27 03:39,RAYE,Please Don’t Touch,9135
2020-11-27 06:43,RAYE,Please Don’t Touch,209491
2020-11-27 06:45,Griff,Forgive Myself,173461
2020-11-27 06:48,Mae Muller,Therapist,183726
2020-11-27 06:52,Ella Eyre,New Me,195853
2020-11-27 06:54,Charlotte Lawrence,Girls Just Wanna Have Fun - Recorded at Spotify Studios NYC,163917
2020-11-27 06:58,Mae Muller,Pull Up,209620
2020-11-27 07:00,Kiana Ledé,Mad At Me.,135373
2020-11-27 07:03,Kara Marni,Young Heart,177799
2020-11-27 07:06,Ashe,Moral of the Story,201083
2020-11-27 07:08,Mae Muller,A Little Of Your Time,116542
2020-11-27 07:22,Mae Muller,A Little Of Your Time,90430
2020-11-27 07:23,Mae Muller,A Little Of Your Time,92804
2020-11-27 07:26,Becky Hill,Heaven On My Mind (with Sigala),192573
2020-11-27 07:30,Mae Muller,Drama (Mae Muller x Ms Banks x Caitlyn Scarlett),191518
2020-11-27 07:33,M.O,Going Out Of My Way,233693
2020-11-27 07:37,Mae Muller,nails so long,170058
2020-11-27 07:40,Mae Muller,Therapist,183726
2020-11-27 07:44,RAYE,Love Of Your Life,196170
2020-11-27 07:46,bülow,You & Jennifer,148816
2020-11-27 09:28,Ella Eyre,Dreams,0
2020-11-27 15:11,Becky Hill,Heaven On My Mind (with Sigala),5166
2020-11-27 15:14,Ella Eyre,Dreams,161678
2020-11-28 15:55,Ella Eyre,Dreams,184923
2020-11-28 15:58,bülow,Sweet Little Lies,175066
2020-11-28 16:00,Mae Muller,Flaws,169227
2020-11-28 16:03,UPSAHL,People I Don't Like,142765
2020-11-28 16:06,Charlotte Lawrence,Joke's On You,184658
2020-11-28 16:09,Madison Beer,Hurts Like Hell (feat. Offset),207108
2020-11-28 16:12,Mae Muller,dependent,169612
2020-11-28 16:15,Kiana Ledé,Can I,160586
2020-11-28 16:18,RAYE,Love Of Your Life,196170
2020-11-28 16:21,bülow,You & Jennifer,159453
2020-11-28 16:24,Mae Muller,I Don't Want Your Money,180245
2020-11-28 16:26,GRACEY,Like That,166840
2020-11-28 16:29,Mae Muller,plot twist,143193
2020-11-28 16:29,Jorja Smith,Be Honest (feat. Burna Boy),1001
2020-11-28 16:32,Jorja Smith,Be Honest (feat. Burna Boy),185364
2020-11-28 16:35,Mae Muller,Leave It Out,196098
2020-11-28 16:36,M.O,Going Out Of My Way,30004
2020-11-28 16:41,M.O,Going Out Of My Way,232159
2020-11-28 16:44,Mae Muller,so annoying - Acoustic,176440
2020-11-28 16:48,Mahalia,BRB (feat. Pink Sweat$),218520
2020-11-28 16:52,Mae Muller,Maybe,233755
2020-11-28 16:55,Maisie Peters,Worst of You,197369
2020-11-28 16:57,Mae Muller,Dick,100133
2020-11-29 15:58,UPSAHL,MoneyOnMyMind,3635
2020-11-29 15:58,Mae Muller,Dick,28669
2020-11-29 16:01,A Fine Frenzy,Happier,210106
2020-11-29 16:04,LORYN,Stand By (#CWC19) (feat. Rudimental),189274
2020-11-29 16:08,Dua Lipa,Be the One,202914
2020-11-29 16:11,Dua Lipa,IDGAF,217946
2020-11-29 16:13,Tyler Ward,The Scientist,113745
2020-11-29 16:16,Ella Henderson,Take Care of You,194234
2020-11-29 16:20,Kylie Minogue,Miss a Thing,236266
2020-11-29 16:24,Lily Allen,Smile,196893
2020-11-29 16:28,Tiffany Alvord,How Would You Feel (Paean),270000
2020-11-29 16:31,Michael Patrick Kelly,Beautiful Madness,175405
2020-11-29 16:34,Alessia Cara,I Choose - From The Netflix Original Film The Willoughbys / MK Remix,166889
2020-11-29 16:37,Ed Sheeran,Shape of You,233712
2020-11-29 16:42,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",252534
2020-11-29 16:45,Girls Aloud,Jump,220360
2020-11-29 16:48,Dua Lipa,Hotter Than Hell,187957
2020-11-29 16:53,Sara Bareilles,Orpheus,253395
2020-11-29 16:56,The Saturdays,Disco Love,193617
2020-11-29 16:59,HONNE,free love,209280
2020-11-29 16:59,Spice Girls,Say You'll Be There,77
2020-11-30 11:40,HONNE,free love,207838
2020-11-30 11:43,Ellie Goulding,Sixteen,201072
2020-11-30 11:46,Ella Vos,Turbulence,170954
2020-11-30 11:49,The Civil Wars,The One That Got Away,212786
2020-11-30 11:52,CRISPIE,Ladida (My Heart Goes Boom),173333
2020-11-30 11:55,The Aces,Kelly,187910
2020-11-30 11:59,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",250266
2020-11-30 12:02,Harry Hudson,Mean To Love,174693
2020-11-30 12:05,benny blanco,Eastside (with Halsey & Khalid),153784
2020-11-30 12:08,Christina Perri,A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,171682
2020-11-30 12:09,Christina Perri,A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,75218
2020-11-30 12:37,Christina Perri,A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,133228
2020-11-30 12:40,Cobra Starship,Bring It (Snakes on a Plane),194880
2020-11-30 12:42,Birdy,If This Is It Now,103161
2020-11-30 12:44,Birdy,If This Is It Now,6131
2020-11-30 12:45,Brown Bird,Chairkickers,60290
2020-11-30 12:48,Brown Bird,Smoke Rising,191764
2020-11-30 12:49,Michael Calfan,Call Me Now,5294
2020-11-30 12:51,Dua Lipa,Cool,166062
2020-12-01 08:38,bülow,You & Jennifer,10657
2020-12-01 08:42,RAYE,Love Of Your Life,196170
2020-12-01 08:45,Kiana Ledé,Second Chances. (ft. 6LACK),192120
2020-12-01 08:48,Olivia Dean,Ok Love You Bye,154386
2020-12-01 08:51,Mahalia,Plastic Plants,199533
2020-12-01 08:55,Kiana Ledé,Chocolate. (ft. Ari Lennox),186120
2020-12-01 08:59,Carlie Hanson,Back in My Arms,195200
2020-12-01 09:02,Sody,Charlotte,221361
2020-12-01 09:06,Griff,Good Stuff,193266
2020-12-01 09:10,Grace Carter,Blame,251527
2020-12-01 09:13,Mae Muller,plot twist,143193
2020-12-01 09:16,GRACEY,Empty Love,207333
2020-12-01 09:19,Mahalia,I Wish I Missed My Ex,203066
2020-12-01 09:24,Becky Hill,Space,118443
2020-12-01 12:47,Dua Lipa,Cool,43628
2020-12-01 12:51,Alice Chater,Pretty In Pink,239480
2020-12-01 12:54,Canyon City,Alone with You,186584
2020-12-01 12:58,Naughty Boy,Lifted,197187
2020-12-01 13:02,Ladyhawke,My Delirium,255746
2020-12-01 13:05,Dua Lipa,New Rules,209320
2020-12-01 13:08,TYLERxCORDY,cut u down,169534
2020-12-01 13:11,Call Me Loop,Downhill From Here,189626
2020-12-01 13:14,Tiësto,Ritual,198995
2020-12-01 13:18,Anne-Marie,2002,186986
2020-12-01 13:21,Davis John Patton,Stay,210196
2020-12-01 13:27,Lambchop,Golden Lady,339015
2020-12-01 13:30,Lorde,Royals,177280
2020-12-02 06:44,Lorde,Royals,187358
2020-12-02 06:47,Kehlani,Gangsta,177028
2020-12-02 06:49,Hope Tala,All My Girls Like To Fight,116511
2020-12-02 09:32,Becky Hill,Space,80155
2020-12-02 09:35,Griff,"1,000,000 X Better",191739
