song_id,track_name,album_name,uri_id,release_date,explicit,type,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7FnHZ5YmsCi6Gdm3fo3De0,Io sì (Seen) [From The Life Ahead (La vita davanti a sé)],Io sì (Seen) [From “The Life Ahead (La vita davanti a sé)”],spotify:track:7FnHZ5YmsCi6Gdm3fo3De0,2021-02-01,False,track,53,0.251,0.199,-12.301,0.0333,0.49,0,0.179,0.2,178.218
0qjOgJ8BLIt5d9VgYEYq75,Complicated (feat. Young Franco),Complicated (feat. Young Franco),spotify:track:0qjOgJ8BLIt5d9VgYEYq75,2021-10-14,False,track,54,0.87,0.493,-8.258,0.403,0.198,0.000423,0.0951,0.801,114.014
1U8ukUuV8VGkFYLZPB18mY,Teenager - Billy Lemos Remix,Teenager,spotify:track:1U8ukUuV8VGkFYLZPB18mY,2021-05-06,True,track,6,0.771,0.594,-5.569,0.0526,0.106,0.000428,0.11,0.909,112.024
05JVdHDpvHTqHnRmmzi9YM,In The Silence,Raised Under Grey Skies,spotify:track:05JVdHDpvHTqHnRmmzi9YM,2016-12-16,False,track,52,0.519,0.353,-6.212,0.0251,0.924,0,0.11,0.414,94.91
6NfrH0ANGmgBXyxgV2PeXt,La Difícil,YHLQMDLG,spotify:track:6NfrH0ANGmgBXyxgV2PeXt,2020-02-29,True,track,80,0.685,0.848,-4.561,0.0858,0.0861,7.14e-06,0.0783,0.761,179.87
5y7DaS3jAc9eZzcSOoUIwU,Una Locura,Enoc,spotify:track:5y7DaS3jAc9eZzcSOoUIwU,2020-09-04,False,track,81,0.714,0.761,-4.596,0.0427,0.139,0.00035,0.241,0.906,168.022
1RSBK5VWdjPjHEmRhAkS4Q,Sacrifice,Sacrifice,spotify:track:1RSBK5VWdjPjHEmRhAkS4Q,2021-03-05,False,track,71,0.659,0.877,-5.089,0.0288,0.0878,0,0.094,0.471,119.992
4gSE2XAqbQSvTsmPXuh9qk,"A la vie, à la mort","A la vie, à la mort",spotify:track:4gSE2XAqbQSvTsmPXuh9qk,2021-01-22,False,track,27,0.676,0.735,-8.694,0.0318,0.0984,0.0275,0.415,0.419,125.012
7mo7CfYuvDyhP4C63SJKnV,Jag kommer - Spotify Studio It's Hits Recording,Jag kommer - Spotify Studio It's Hits Recording,spotify:track:7mo7CfYuvDyhP4C63SJKnV,2021-05-14,False,track,49,0.585,0.745,-5.111,0.0745,0.000189,0.000747,0.161,0.718,144.947
114rdkPL5vVgOPbzilfVa5,Found My Friends,Found My Friends,spotify:track:114rdkPL5vVgOPbzilfVa5,2021-04-30,False,track,48,0.621,0.724,-4.528,0.0315,0.005,0,0.133,0.39,96.005
6u6kzaQFbGXv0NpxGcaygH,Holiday - 220 KID Remix,Holiday,spotify:track:6u6kzaQFbGXv0NpxGcaygH,2020-12-11,False,track,35,0.61,0.909,-2.087,0.18,0.0938,0,0.054,0.866,122.085
3jbT1Y5MoPwEIpZndDDwVq,Adicto (with Anuel AA & Ozuna),Adicto (with Anuel AA & Ozuna),spotify:track:3jbT1Y5MoPwEIpZndDDwVq,2019-08-22,False,track,77,0.734,0.836,-4.803,0.0735,0.017,1.64e-05,0.179,0.623,80.002
0R60496gawZvoT1QxdLrts,Red Gatorade,Red Gatorade,spotify:track:0R60496gawZvoT1QxdLrts,2020-09-04,False,track,45,0.599,0.54,-7.442,0.129,0.32,8.93e-06,0.102,0.662,175.878
06ioYJ99HHjzRk8HrGfkKS,Drugs,Drugs,spotify:track:06ioYJ99HHjzRk8HrGfkKS,2019-01-18,False,track,73,0.883,0.415,-8.571,0.174,0.35,0,0.063,0.318,76.986
776xH04Us0YBTdspg6C1cP,Side Effects,Side Effects,spotify:track:776xH04Us0YBTdspg6C1cP,2019-11-22,True,track,57,0.569,0.726,-5.343,0.178,0.1,0,0.244,0.373,185.946
2aQZSSRvTDuUJS3Dv6zAOn,So Alive,So Alive,spotify:track:2aQZSSRvTDuUJS3Dv6zAOn,2019-10-04,False,track,44,0.419,0.65,-7.12,0.0677,0.00733,0,0.237,0.271,160.975
4XWaUb7mKRcJR5RPp4IIDr,Easy,Easy,spotify:track:4XWaUb7mKRcJR5RPp4IIDr,2020-12-10,False,track,71,0.581,0.674,-7.09,0.033,0.00187,3.01e-06,0.128,0.488,143.005
0nfFdjswV0F5XGehivzBCW,Judas,Warm Up,spotify:track:0nfFdjswV0F5XGehivzBCW,2021-03-18,True,track,54,0.76,0.694,-6.045,0.188,0.0664,1.18e-06,0.185,0.717,94.957
3DMs7bahbQTnoxCjgP7qoK,Demeanor (feat. Dua Lipa),Faith,spotify:track:3DMs7bahbQTnoxCjgP7qoK,2021-07-16,True,track,73,0.675,0.608,-6.934,0.103,0.336,0,0.11,0.728,99.865
228BxWXUYQPJrJYHDLOHkj,Gasolina,Barrio Fino (Bonus Track Version),spotify:track:228BxWXUYQPJrJYHDLOHkj,2004-07-13,False,track,77,0.852,0.797,-6.543,0.0614,0.322,2.69e-06,0.0845,0.741,96.008
5pmbZWt1lYVMvZ12MSdtqF,Leave A Little Love,Leave A Little Love,spotify:track:5pmbZWt1lYVMvZ12MSdtqF,2021-02-25,False,track,71,0.671,0.855,-4.254,0.0375,0.00437,0,0.131,0.329,117.98
0gCNs3jCCDhObAK0MRghtv,Catching Feelings (feat. SIX60),Drax Project,spotify:track:0gCNs3jCCDhObAK0MRghtv,2019-09-27,False,track,68,0.396,0.521,-5.877,0.101,0.605,0,0.157,0.34,175.558
2Lhdl74nwwVGOE2Gv35QuK,Cupid's Chokehold / Breakfast in America,The Papercut Chronicles,spotify:track:2Lhdl74nwwVGOE2Gv35QuK,2005-02-22,False,track,79,0.72,0.744,-6.938,0.12,0.237,0,0.255,0.619,78.953
3NsR2xGHavqVsVDTT7i38A,Bursty Greedy Spider,TVアニメ「蜘蛛ですが、なにか?」後期オープニングテーマ「Bursty Greedy Spider」,spotify:track:3NsR2xGHavqVsVDTT7i38A,2021-05-07,False,track,48,0.439,0.98,-3.084,0.211,0.00106,1.41e-06,0.31,0.54,178.037
2wrXCzqFhTrUiLx1Xra1zN,Pajaritos,Pajaritos,spotify:track:2wrXCzqFhTrUiLx1Xra1zN,2021-06-11,False,track,43,0.696,0.493,-7.526,0.172,0.496,0.000158,0.156,0.237,95.337
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Dance Monkey,spotify:track:2XU0oxnq2qxCpomAAuJY8K,2019-10-17,False,track,81,0.824,0.588,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027
6EDO9iiTtwNv6waLwa1UUq,POPSTAR (feat. Drake),POPSTAR (feat. Drake),spotify:track:6EDO9iiTtwNv6waLwa1UUq,2020-07-17,True,track,79,0.8,0.56,-4.818,0.261,0.057,0,0.134,0.45,163.071
541lUjNUJ8NIQiduDf4Ue9,Flashback,Ready For The Weekend,spotify:track:541lUjNUJ8NIQiduDf4Ue9,2009-08-18,False,track,47,0.265,0.948,-5.661,0.0494,0.00216,0.00113,0.0832,0.198,128.0
272SSRyZOxiyZWbTzZyVD8,Hah,Hah,spotify:track:272SSRyZOxiyZWbTzZyVD8,2021-08-13,False,track,13,0.416,0.773,-6.77,0.0406,0.00305,0.0017,0.197,0.39,157.926
5zNW5ARjYhJQJz1AChP33n,Thot Shit,Thot Shit,spotify:track:5zNW5ARjYhJQJz1AChP33n,2021-06-11,True,track,81,0.95,0.693,-3.424,0.0898,0.0133,0,0.173,0.891,130.02
1kEOLjp8iAb8WvoiVC9rzi,"My Love (feat. Major Lazer, WizKid, Dua Lipa) - Spotify Single Version","My Love (feat. Major Lazer, WizKid, Dua Lipa)",spotify:track:1kEOLjp8iAb8WvoiVC9rzi,2017-04-25,False,track,36,0.728,0.811,-4.278,0.0564,0.0453,2.07e-06,0.362,0.705,114.995
5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),Your Love (9PM),spotify:track:5YaskwnGDZFDRipaqzbwQx,2021-01-15,False,track,83,0.669,0.784,-5.603,0.112,0.194,6.28e-06,0.115,0.517,125.993
6ZDGjhsVQToQK74JfocrhM,NY,Found,spotify:track:6ZDGjhsVQToQK74JfocrhM,2020-11-20,True,track,34,0.825,0.561,-7.347,0.0531,0.169,0,0.227,0.614,119.987
3avYqdwHKEq8beXbeWCKqJ,Last Friday Night (T.G.I.F.),Katy Perry - Teenage Dream: The Complete Confection,spotify:track:3avYqdwHKEq8beXbeWCKqJ,2010-01-01,False,track,72,0.652,0.812,-3.797,0.0409,0.00125,3.01e-05,0.667,0.72,126.023
5428XgSLRJfpMRN3r6YXob,Holiday,Holiday,spotify:track:5428XgSLRJfpMRN3r6YXob,2020-11-06,False,track,65,0.691,0.68,-6.007,0.185,0.0875,0,0.0618,0.676,106.106
6QDyiZyiQjRL02PIiJo2bq,鼓動,鼓動,spotify:track:6QDyiZyiQjRL02PIiJo2bq,2021-04-03,False,track,42,0.498,0.959,-2.432,0.108,0.0205,0,0.213,0.547,92.158
2YWAm1L5MqkX0S9lXWiHp5,Va va vis,Va va vis,spotify:track:2YWAm1L5MqkX0S9lXWiHp5,2018-05-25,False,track,44,0.71,0.643,-3.801,0.0368,0.249,0,0.235,0.706,115.92
4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend, i'm bored","thank u, next",spotify:track:4kV4N9D1iKVxx1KLvtTpjS,2019-02-08,True,track,78,0.726,0.554,-5.29,0.0917,0.0421,0,0.106,0.335,169.999
248OFOZef6ShXv6DGgbnxU,Saved,American Teen,spotify:track:248OFOZef6ShXv6DGgbnxU,2017-04-27,False,track,71,0.739,0.448,-10.28,0.138,0.189,0,0.118,0.553,81.044
6fMzgFFGzWCwiHMzDzNpp5,Lets Link,Lets Link,spotify:track:6fMzgFFGzWCwiHMzDzNpp5,2020-08-20,True,track,67,0.839,0.683,-9.232,0.165,0.00667,0,0.241,0.522,120.003
73nAK3HgQK8dak83Y2WQ8F,Vida de Rico,Vida de Rico,spotify:track:73nAK3HgQK8dak83Y2WQ8F,2020-09-21,False,track,78,0.824,0.457,-5.428,0.0543,0.167,0,0.041,0.95,87.977
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),death bed (coffee for your head),spotify:track:7eJMfftS33KTjuF7lTsMCx,2020-02-08,False,track,85,0.726,0.431,-8.765,0.135,0.731,0,0.696,0.348,144.026
4OwhwvKESFtuu06dTgct7i,Tiroteo - Remix,Tiroteo,spotify:track:4OwhwvKESFtuu06dTgct7i,2021-04-01,False,track,87,0.75,0.522,-7.018,0.0293,0.282,0,0.0743,0.601,110.427
5LZtB6nxvjIhUoElp3Zqk0,Teach Me How To Love,Wonder,spotify:track:5LZtB6nxvjIhUoElp3Zqk0,2020-12-04,False,track,69,0.592,0.885,-4.944,0.0807,0.0505,2.38e-06,0.0843,0.731,98.991
4VgYtXCVJ7IbWAZ5ryfvEQ,Muévelo,Muévelo,spotify:track:4VgYtXCVJ7IbWAZ5ryfvEQ,2020-01-08,False,track,72,0.594,0.808,-2.409,0.0489,0.415,1.39e-05,0.565,0.919,188.09
48hfHWQRzhPQsyVn5oHpb9,For Once In My Life,For Once In My Life,spotify:track:48hfHWQRzhPQsyVn5oHpb9,2020-07-15,False,track,42,0.632,0.707,-7.664,0.0479,0.171,0,0.0586,0.692,106.061
3AzjcOeAmA57TIOr9zF1ZW,Physical,Physical,spotify:track:3AzjcOeAmA57TIOr9zF1ZW,2020-03-27,False,track,77,0.647,0.844,-3.756,0.0457,0.0137,0.000658,0.102,0.746,146.967
5F6ekGcdu623mkhTVgk64Z,Amtrak,Amtrak,spotify:track:5F6ekGcdu623mkhTVgk64Z,2021-04-30,False,track,59,0.438,0.703,-7.069,0.0265,0.493,0.000979,0.0866,0.645,175.881
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Fine Line,spotify:track:6UelLqGlWMcVH1E5c4H7lY,2019-12-13,False,track,89,0.548,0.816,-4.209,0.0465,0.122,0,0.335,0.557,95.39
30bqNfOgcJOw2EWJJl1w5J,Soft Spot,Super Monster,spotify:track:30bqNfOgcJOw2EWJJl1w5J,2021-02-12,False,track,58,0.56,0.544,-8.25,0.0284,0.394,5.02e-05,0.224,0.472,82.028
28WUfHlQ8KRdcsKVufwa3Z,Waltz In F Major,Pieces Of A Woman,spotify:track:28WUfHlQ8KRdcsKVufwa3Z,2021-01-08,False,track,32,0.346,0.0575,-22.29,0.0422,0.992,0.867,0.108,0.0577,145.98
7FjZU7XFs7P9jHI9Z0yRhK,So Close,So Close (feat. Georgia Ku),spotify:track:7FjZU7XFs7P9jHI9Z0yRhK,2018-11-02,False,track,72,0.7,0.872,-5.896,0.0666,0.121,7.08e-06,0.103,0.761,125.03
44DrrronscuO6y0AtqFefT,FTS,FTS,spotify:track:44DrrronscuO6y0AtqFefT,2021-08-20,True,track,49,0.563,0.564,-5.354,0.0409,0.166,0,0.442,0.507,170.066
65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),Scary Hours 2,spotify:track:65OVbaJR5O1RmwOQx0875b,2021-03-05,True,track,85,0.578,0.449,-6.349,0.286,0.0618,2.17e-06,0.119,0.1,136.006
53Q9cg3a1SBwNgxIWEi0SY,make it rain,parallel universe pt. 1,spotify:track:53Q9cg3a1SBwNgxIWEi0SY,2021-05-14,False,track,29,0.677,0.724,-4.975,0.265,0.419,0,0.117,0.331,118.139
2m9N5pZkg7wkgLadlvWcpj,lived to love,lived to love,spotify:track:2m9N5pZkg7wkgLadlvWcpj,2021-09-22,False,track,48,0.714,0.798,-10.997,0.0532,0.835,0.0133,0.0969,0.562,115.972
3nKZknHg5Y5fPB3gow8ACG,Crystal Dolphin,Crust Fm,spotify:track:3nKZknHg5Y5fPB3gow8ACG,2017-12-06,False,track,64,0.558,0.776,-6.868,0.179,0.33,0.000445,0.41,0.247,128.064
4knc1Fp3kbuq8bH2byOvLu,Índigo,Índigo,spotify:track:4knc1Fp3kbuq8bH2byOvLu,2021-10-13,False,track,88,0.748,0.779,-6.659,0.0342,0.00884,3.96e-05,0.113,0.928,128.91
2769RhOZs0ezRncRW1vryp,Till Forever Falls Apart,Till Forever Falls Apart,spotify:track:2769RhOZs0ezRncRW1vryp,2021-03-02,True,track,73,0.509,0.498,-6.94,0.0315,0.413,0,0.0674,0.283,99.729
3TcL0dyCMyr0kyTTc4NLgI,Who Says,When The Sun Goes Down,spotify:track:3TcL0dyCMyr0kyTTc4NLgI,2011-01-01,False,track,79,0.682,0.927,-2.915,0.0479,0.0843,0,0.149,0.744,101.019
7FyDoTYFkfZ1DQ9HvvXomL,Mercy,Mercy,spotify:track:7FyDoTYFkfZ1DQ9HvvXomL,2018-04-20,False,track,43,0.654,0.54,-7.004,0.0477,0.0688,0.000104,0.579,0.169,97.004
7IOuCLt770D8v0u3SVaDeI,Wasabi,LM5 (Deluxe),spotify:track:7IOuCLt770D8v0u3SVaDeI,2018-11-16,True,track,69,0.847,0.656,-4.976,0.115,0.00451,0.000854,0.143,0.234,114.001
